bench,prover_time_ms,verifier_time_ms,proof_bits,system
aha-mont64,3.4920056531492256,0.07918124604762482,3.0081741840064264,Groth16
aha-mont64,3.485011214578573,0.07918124604762482,3.0081741840064264,Groth16
aha-mont64,3.4975515990645665,0.11394335230683679,3.0081741840064264,Groth16
aha-mont64,3.516588252805143,0.11394335230683679,3.0081741840064264,Groth16
aha-mont64,3.5038859723321987,0.07918124604762482,3.0081741840064264,Groth16
crc32,3.5364195471277338,0.146128035678238,3.0081741840064264,Groth16
crc32,3.509834008532962,0.11394335230683679,3.0081741840064264,Groth16
crc32,3.51271107196312,0.11394335230683679,3.0081741840064264,Groth16
crc32,3.545690512112002,0.11394335230683679,3.0081741840064264,Groth16
crc32,3.5026182767375,0.17609125905568124,3.0081741840064264,Groth16
cubic,3.500263926200883,0.07918124604762482,3.0081741840064264,Groth16
cubic,3.5351294874350647,0.146128035678238,3.0081741840064264,Groth16
cubic,3.5110540694682135,0.07918124604762482,3.0081741840064264,Groth16
cubic,3.5181979744351377,0.07918124604762482,3.0081741840064264,Groth16
cubic,3.5459623941595213,0.07918124604762482,3.0081741840064264,Groth16
edn,3.502945778404678,0.07918124604762482,3.0081741840064264,Groth16
edn,3.5247854493212225,0.11394335230683679,3.0081741840064264,Groth16
edn,3.532474098581412,0.11394335230683679,3.0081741840064264,Groth16
edn,3.5078019187195637,0.11394335230683679,3.0081741840064264,Groth16
edn,3.5183296546404774,0.07918124604762482,3.0081741840064264,Groth16
matmult-int,3.48910028696896,0.11394335230683679,3.0081741840064264,Groth16
matmult-int,3.4882262845356427,0.07918124604762482,3.0081741840064264,Groth16
matmult-int,3.4937228689611968,0.07918124604762482,3.0081741840064264,Groth16
matmult-int,3.4838582008059147,0.07918124604762482,3.0081741840064264,Groth16
matmult-int,3.5047562204972063,0.07918124604762482,3.0081741840064264,Groth16
nbody,3.4850396453652617,0.07918124604762482,3.0081741840064264,Groth16
nbody,3.485338056309353,0.07918124604762482,3.0081741840064264,Groth16
nbody,3.498641318833695,0.07918124604762482,3.0081741840064264,Groth16
nbody,3.4999893343341837,0.11394335230683679,3.0081741840064264,Groth16
nbody,3.5055298198351323,0.11394335230683679,3.0081741840064264,Groth16
nsichneu,3.8479118192389303,0.07918124604762482,3.0081741840064264,Groth16
nsichneu,3.8372979698098417,0.04139268515822508,3.0081741840064264,Groth16
nsichneu,3.8444150404738244,0.07918124604762482,3.0081741840064264,Groth16
nsichneu,3.8565959843934206,0.07918124604762482,3.0081741840064264,Groth16
nsichneu,3.841784795614428,0.11394335230683679,3.0081741840064264,Groth16
slre,3.8296510695163883,0.04139268515822508,3.0081741840064264,Groth16
slre,3.838168792915244,0.04139268515822508,3.0081741840064264,Groth16
slre,3.831684248061107,0.07918124604762482,3.0081741840064264,Groth16
slre,3.834318953670664,0.11394335230683679,3.0081741840064264,Groth16
slre,3.8425780391736146,0.07918124604762482,3.0081741840064264,Groth16
statemate,3.5082872543803214,0.11394335230683679,3.0081741840064264,Groth16
statemate,3.4799781807807832,0.07918124604762482,3.0081741840064264,Groth16
statemate,3.4913336739315626,0.07918124604762482,3.0081741840064264,Groth16
statemate,3.4899584794248346,0.07918124604762482,3.0081741840064264,Groth16
statemate,3.5060312442532577,0.07918124604762482,3.0081741840064264,Groth16
ud,3.4866571313388808,0.11394335230683679,3.0081741840064264,Groth16
ud,3.500332547048551,0.11394335230683679,3.0081741840064264,Groth16
ud,3.496901985123309,0.07918124604762482,3.0081741840064264,Groth16
ud,3.4989029959518647,0.07918124604762482,3.0081741840064264,Groth16
ud,3.4956969381869136,0.07918124604762482,3.0081741840064264,Groth16
