bench,run,trace_build,prover_time,verifier_time,proof_kib,proof_bytes
"aha-mont64","1","41.074µs","10.023ms","240.442µs","16.85","17251"
"aha-mont64","2","38.070µs","14.612ms","291.863µs","16.53","16931"
"aha-mont64","3","51.829µs","11.977ms","285.797µs","16.85","17251"
"aha-mont64","4","53.448µs","13.109ms","281.557µs","16.53","16931"
"aha-mont64","5","40.220µs","12.309ms","283.277µs","16.22","16611"
"crc32","1","33.095µs","5.860ms","225.749µs","10.66","10915"
"crc32","2","32.452µs","7.879ms","211.306µs","10.85","11107"
"crc32","3","22.834µs","4.209ms","219.512µs","11.03","11299"
"crc32","4","27.406µs","4.920ms","246.893µs","10.72","10979"
"crc32","5","31.486µs","5.909ms","87.300µs","10.53","10787"
"cubic","1","44.531µs","8.879ms","263.928µs","12.22","12515"
"cubic","2","21.193µs","3.092ms","92.596µs","12.22","12515"
"cubic","3","12.460µs","3.589ms","90.456µs","12.10","12387"
"cubic","4","10.773µs","3.440ms","91.184µs","12.22","12515"
"cubic","5","13.855µs","2.883ms","91.010µs","12.78","13091"
"edn","1","41.218µs","11.578ms","173.465µs","23.59","24161"
"edn","2","35.557µs","10.943ms","174.244µs","23.84","24417"
"edn","3","44.719µs","10.569ms","172.465µs","23.84","24417"
"edn","4","25.311µs","10.833ms","171.964µs","23.84","24417"
"edn","5","24.765µs","10.502ms","172.088µs","23.84","24417"
"matmult-int","1","17.067µs","3.707ms","98.823µs","14.97","15331"
"matmult-int","2","15.707µs","3.867ms","107.813µs","14.97","15331"
"matmult-int","3","15.164µs","4.349ms","108.045µs","14.97","15331"
"matmult-int","4","12.241µs","3.413ms","106.010µs","15.60","15971"
"matmult-int","5","11.102µs","5.713ms","100.759µs","15.53","15907"
"nbody","1","12.465µs","2.799ms","93.165µs","13.13","13443"
"nbody","2","11.267µs","3.748ms","98.569µs","12.94","13251"
"nbody","3","11.817µs","2.225ms","92.439µs","13.13","13443"
"nbody","4","11.471µs","2.436ms","92.721µs","12.57","12867"
"nbody","5","13.981µs","2.338ms","95.068µs","12.57","12867"
"nsichneu","1","87.722µs","12.239ms","182.919µs","26.53","27169"
"nsichneu","2","83.631µs","12.573ms","195.343µs","26.53","27169"
"nsichneu","3","125.546µs","12.416ms","194.132µs","26.53","27169"
"nsichneu","4","80.353µs","11.967ms","195.748µs","26.53","27169"
"nsichneu","5","79.980µs","13.362ms","200.028µs","26.69","27329"
"slre","1","64.927µs","19.162ms","220.131µs","28.78","29473"
"slre","2","72.165µs","20.093ms","197.556µs","30.00","30721"
"slre","3","63.947µs","19.580ms","206.783µs","28.84","29537"
"slre","4","61.046µs","20.673ms","224.245µs","29.53","30241"
"slre","5","70.026µs","20.964ms","192.708µs","28.78","29473"
"statemate","1","36.519µs","3.781ms","125.406µs","14.53","14883"
"statemate","2","40.658µs","3.124ms","103.719µs","14.16","14499"
"statemate","3","46.172µs","3.020ms","106.129µs","14.66","15011"
"statemate","4","37.633µs","3.087ms","105.814µs","14.03","14371"
"statemate","5","40.983µs","3.109ms","98.227µs","14.10","14435"
"ud","1","19.511µs","6.515ms","135.471µs","18.57","19011"
"ud","2","20.501µs","5.754ms","118.388µs","18.00","18435"
"ud","3","18.638µs","5.934ms","127.525µs","17.94","18371"
"ud","4","20.682µs","6.978ms","125.407µs","18.25","18691"
"ud","5","22.312µs","5.812ms","123.832µs","17.75","18179"
